,id,name,nationality,sex,height,weight,gold,silver,bronze,info,sport_aquatics,sport_archery,sport_athletics,sport_badminton,sport_basketball,sport_boxing,sport_canoe,sport_cycling,sport_equestrian,sport_fencing,sport_football,sport_golf,sport_gymnastics,sport_handball,sport_hockey,sport_judo,sport_modern pentathlon,sport_rowing,sport_rugby sevens,sport_sailing,sport_shooting,sport_table tennis,sport_taekwondo,sport_tennis,sport_triathlon,sport_volleyball,sport_weightlifting,sport_wrestling,year_of_birth
30,23564778,Abdelkader Chadi,ALG,male,1.78,,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
31,133974151,Abdelkadir Salhi,ALG,male,1.85,79.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
32,189886442,Abdelkebir Ouaddar,MAR,male,1.74,67.0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962
33,199516300,Abdelkhalek Elbanna,EGY,male,1.93,95.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1988
34,570342175,Abdellatif Mohamed Ahmed Mohamed,EGY,male,1.76,120.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995
35,517007712,Abdelmajid El Hissouf,MAR,male,1.7,56.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
36,512730813,Abdelmalik Lahoulou,ALG,male,1.77,72.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
37,934545704,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,1.85,,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
38,514096508,Abdelraouf Benguit,ALG,male,1.7,65.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
39,388896171,Abderrahmane Benamadi,ALG,male,1.83,90.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1985
40,285603057,Abderrahmane Mansouri,ALG,male,1.72,66.0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
41,545134894,Abderrahmane Meziane,ALG,male,1.68,62.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
42,64529046,Abdi Hakin Ulad,DEN,male,1.75,57.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
43,917755766,Abdi Nageeye,NED,male,1.65,54.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
44,184980926,Abdi Waiss Mouhyadin,DJI,male,1.6,60.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
45,702606719,Abdoul Khadre Mbaye Niane,SEN,male,1.9,90.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
46,259675127,Abdoulkarim Fawziya,CMR,female,1.8,67.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1989
47,469953606,Abdoullah Bamoussa,ITA,male,,,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
48,962468808,Abdoulrazak Issoufou Alfaga,NIG,male,2.07,98.0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1994
49,958967643,Abdul Khalili,SWE,male,1.81,71.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
50,325809293,Abdul Omar,GHA,male,,,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
51,152408417,Abdul Wahab Zahiri,AFG,male,1.75,68.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
52,262868423,Abdulaziz Alshatti,IOA,male,,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
53,101781750,Abdulkadir Abdullayev,AZE,male,1.88,,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
54,5763609,Abdullah Abkar Mohammed,KSA,male,1.72,73.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
55,969824503,Abdullah Alrashidi,IOA,male,1.83,84.0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1963
56,897549624,Abdullah Hel Baki,BAN,male,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1989
57,153457,Abdullahi Shehu,NGR,male,1.7,,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
58,803368584,Abdullo Tangriev,UZB,male,1.9,132.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1981
59,937153550,Abdulrahman Al Faihan,IOA,male,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1986
60,746318262,Abdulrashid Sadulaev,RUS,male,1.77,86.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996
61,841446548,Abdulrazzaq Murad,QAT,male,1.86,77.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
62,884912875,Abeku Gyekye Jackson,GHA,male,,,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
63,146197583,Abhinav Bindra,IND,male,1.75,70.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1982
64,884912136,Abigail Johnston,USA,female,1.66,61.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
65,221052317,Abigel Joo,HUN,female,1.83,76.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1990
66,157637514,Ablaikhan Zhussupov,KAZ,male,1.75,,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
67,78813419,Abraham Kipchirchir Rotich,BRN,male,1.83,65.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
68,555457991,Abraham Naibei Cheroben,BRN,male,1.76,60.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
69,877850429,Abraham Niyonkuru,BDI,male,1.62,52.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
70,369092977,Abrar Osman,ERI,male,1.68,58.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
71,602585498,Abubaker Haydar Abdalla,QAT,male,1.8,60.0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
72,140663745,Achraf Kharroubi,MAR,male,1.6,,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
73,507726155,Adam Batirov,BRN,male,1.65,71.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1985
74,60265240,Adam Cwalina,POL,male,1.87,81.0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
75,256805041,Adam Decker,HUN,male,2.03,115.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
76,275689888,Adam Dixon,GBR,male,1.69,70.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
77,136977152,Adam Froese,CAN,male,1.82,81.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
