,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
39293,Chen Jin,M,26.0,181.0,73.0,China,CHN,London,Badminton,Badminton Men's Singles,0,0,0
39308,Chen Jinyan,F,24.0,166.0,65.0,China,CHN,London,Fencing,"Fencing Women's Foil, Individual",0,0,0
39336,Chen Long,M,23.0,188.0,81.0,China,CHN,London,Badminton,Badminton Men's Singles,1,0,0
39354,Chen Nan,F,29.0,195.0,94.0,China,CHN,London,Basketball,Basketball Women's Basketball,0,0,0
39361,Chen Qian,F,25.0,163.0,54.0,China,CHN,London,Modern Pentathlon,Modern Pentathlon Women's Individual,0,0,0
39363,Chen Qian,F,19.0,175.0,58.0,China,CHN,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,0,0
39376,Chen Ruolin,F,19.0,160.0,47.0,China,CHN,London,Diving,Diving Women's Platform,0,1,0
39377,Chen Ruolin,F,19.0,160.0,47.0,China,CHN,London,Diving,Diving Women's Synchronized Platform,0,1,0
39382,Chen Shih-Chieh,M,22.0,190.0,150.0,Chinese Taipei,TPE,London,Weightlifting,Weightlifting Men's Super-Heavyweight,0,0,0
39388,Chen Szu-Yu,F,18.0,162.0,58.0,Chinese Taipei,TPE,London,Table Tennis,Table Tennis Women's Singles,0,0,0
39417,Weixing Chen,M,40.0,173.0,73.0,Austria,AUT,London,Table Tennis,Table Tennis Men's Singles,0,0,0
39418,Weixing Chen,M,40.0,173.0,73.0,Austria,AUT,London,Table Tennis,Table Tennis Men's Team,0,0,0
39429,Chen Xiaodong,F,24.0,179.0,69.0,China,CHN,London,Fencing,"Fencing Women's Sabre, Individual",0,0,0
39431,Chen Xiaojun,F,19.0,167.0,104.0,China,CHN,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,1
39433,Chen Xiaoli,F,30.0,193.0,78.0,China,CHN,London,Basketball,Basketball Women's Basketball,0,0,0
39473,Chen Yibing,M,27.0,160.0,58.0,China,CHN,London,Gymnastics,Gymnastics Men's Team All-Around,0,1,0
39474,Chen Yibing,M,27.0,160.0,58.0,China,CHN,London,Gymnastics,Gymnastics Men's Parallel Bars,0,0,0
39475,Chen Yibing,M,27.0,160.0,58.0,China,CHN,London,Gymnastics,Gymnastics Men's Rings,0,0,1
39476,Chen Yibing,M,27.0,160.0,58.0,China,CHN,London,Gymnastics,Gymnastics Men's Pommelled Horse,0,0,0
39478,Chen Yin,M,26.0,182.0,76.0,China,CHN,London,Swimming,Swimming Men's 200 metres Butterfly,0,0,0
39482,Chen Ying,F,34.0,164.0,67.0,China,CHN,London,Shooting,"Shooting Women's Sporting Pistol, 25 metres",0,0,1
39494,Chen Yu-Cheng,M,19.0,180.0,72.0,Chinese Taipei,TPE,London,Archery,Archery Men's Individual,0,0,0
39495,Chen Yu-Cheng,M,19.0,180.0,72.0,Chinese Taipei,TPE,London,Archery,Archery Men's Team,0,0,0
39558,Lauren Nicole Cheney (-Holiday),F,24.0,173.0,70.0,United States,USA,London,Football,Football Women's Football,0,1,0
39564,Cheng Changsong,M,27.0,177.0,82.0,China,CHN,London,Cycling,Cycling Men's Team Sprint,0,0,0
39572,Cheng Chu Sian,M,26.0,182.0,85.0,Malaysia,MAS,London,Archery,Archery Men's Individual,0,0,0
39573,Cheng Chu Sian,M,26.0,182.0,85.0,Malaysia,MAS,London,Archery,Archery Men's Team,0,0,0
39574,"Xinru ""Colin"" Cheng",M,22.0,175.0,80.0,Singapore,SGP,London,Sailing,Sailing Men's One Person Dinghy,0,0,0
39586,Cheng Feiyi,M,21.0,179.0,73.0,China,CHN,London,Swimming,Swimming Men's 100 metres Backstroke,0,0,0
39587,Cheng Feiyi,M,21.0,179.0,73.0,China,CHN,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,0
39612,Cheng Ming,F,26.0,165.0,65.0,China,CHN,London,Archery,Archery Women's Individual,0,0,0
39613,Cheng Ming,F,26.0,165.0,65.0,China,CHN,London,Archery,Archery Women's Team,0,0,1
39617,Cheng Shao-Chieh,F,26.0,158.0,47.0,Chinese Taipei,TPE,London,Badminton,Badminton Women's Singles,0,0,0
39625,Cheng Wan-Jung,F,24.0,161.0,50.0,Chinese Taipei,TPE,London,Swimming,Swimming Women's 200 metres Butterfly,0,0,0
39626,Cheng Wan-Jung,F,24.0,161.0,50.0,Chinese Taipei,TPE,London,Swimming,Swimming Women's 200 metres Individual Medley,0,0,0
39627,Cheng Wen,M,23.0,188.0,76.0,China,CHN,London,Athletics,Athletics Men's 400 metres Hurdles,0,0,0
39631,Cheng Wen-Hsing,F,30.0,166.0,63.0,Chinese Taipei,TPE,London,Badminton,Badminton Mixed Doubles,0,0,0
39632,Cheng Wen-Hsing,F,30.0,166.0,63.0,Chinese Taipei,TPE,London,Badminton,Badminton Women's Doubles,0,0,0
39645,Cheon Eun-Bi,F,20.0,165.0,59.0,South Korea,KOR,London,Hockey,Hockey Women's Hockey,0,0,0
39659,Cheon Seul-Gi,F,23.0,166.0,72.0,South Korea,KOR,London,Hockey,Hockey Women's Hockey,0,0,0
39660,Cheong Jun Hoong,F,22.0,150.0,48.0,Malaysia,MAS,London,Diving,Diving Women's Springboard,0,0,0
39661,Cheong Jun Hoong,F,22.0,150.0,48.0,Malaysia,MAS,London,Diving,Diving Women's Synchronized Springboard,0,0,0
39666,Robin Haeyoun Cheong,F,23.0,163.0,56.0,New Zealand,NZL,London,Taekwondo,Taekwondo Women's Featherweight,0,0,0
39715,Joyce Chepkirui,F,23.0,152.0,48.0,Kenya,KEN,London,Athletics,"Athletics Women's 10,000 metres",0,0,0
39722,Nixon Kiplimo Chepseba,M,21.0,185.0,66.0,Kenya,KEN,London,Athletics,"Athletics Men's 1,500 metres",0,0,0
39738,Aleksey Borisovich Cheremisinov,M,27.0,183.0,75.0,Russia,RUS,London,Fencing,"Fencing Men's Foil, Individual",0,0,0
39739,Aleksey Borisovich Cheremisinov,M,27.0,183.0,75.0,Russia,RUS,London,Fencing,"Fencing Men's Foil, Team",0,0,0
39775,Ilya Vladimirovich Chergeyko,M,19.0,179.0,81.0,Belarus,BLR,London,Shooting,"Shooting Men's Air Rifle, 10 metres",0,0,0
39788,Lyubov Viktorovna Cherkashina,F,24.0,171.0,53.0,Belarus,BLR,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,1,0,0
39835,Olga Igorevna Chernoivanenko,F,23.0,176.0,69.0,Russia,RUS,London,Handball,Handball Women's Handball,0,0,0
39837,Issam Al-Chernoubi,M,24.0,189.0,79.0,Morocco,MAR,London,Taekwondo,Taekwondo Men's Welterweight,0,0,0
39850,Tatyana Sergeyevna Chernova,F,24.0,189.0,63.0,Russia,RUS,London,Athletics,Athletics Women's Heptathlon,1,0,0
39877,Janet Cherobon-Bawcom,F,33.0,170.0,52.0,United States,USA,London,Athletics,"Athletics Women's 10,000 metres",0,0,0
39909,Vivian Jepkemoi Cheruiyot,F,28.0,153.0,40.0,Kenya,KEN,London,Athletics,"Athletics Women's 5,000 metres",0,0,1
39910,Vivian Jepkemoi Cheruiyot,F,28.0,153.0,40.0,Kenya,KEN,London,Athletics,"Athletics Women's 10,000 metres",1,0,0
39931,Ihor Volodymyrovych Chervynskiy,M,30.0,180.0,73.0,Ukraine,UKR,London,Swimming,Swimming Men's 10 kilometres Open Water,0,0,0
39969,Andrew Chetcuti,M,19.0,177.0,72.0,Malta,MLT,London,Swimming,Swimming Men's 100 metres Freestyle,0,0,0
39976,William Chetcuti,M,27.0,180.0,93.0,Malta,MLT,London,Shooting,Shooting Men's Double Trap,0,0,0
39981,Bharat Kumar Chetri,M,30.0,,,India,IND,London,Hockey,Hockey Men's Hockey,0,0,0
39992,Cheung Chi Yip,M,25.0,175.0,72.0,Hong Kong,HKG,London,Judo,Judo Men's Lightweight,0,0,0
40034,"Sbastien ""Sba"" Chevallier",M,25.0,193.0,88.0,Switzerland-1,SUI,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,0,0,0
40038,Samantha Cheverton,F,23.0,160.0,48.0,Canada,CAN,London,Swimming,Swimming Women's 200 metres Freestyle,0,0,0
40039,Samantha Cheverton,F,23.0,160.0,48.0,Canada,CAN,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,0,0,0
40040,Samantha Cheverton,F,23.0,160.0,48.0,Canada,CAN,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,0,0
40041,Samantha Cheverton,F,23.0,160.0,48.0,Canada,CAN,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,0,0
40059,Milcah Chemos Cheywa,F,26.0,162.0,48.0,Kenya,KEN,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",0,0,0
40143,Andrea Chiarabini,M,17.0,179.0,70.0,Italy,ITA,London,Diving,Diving Men's Platform,0,0,0
40184,Kaori Chiba-Fujio,F,31.0,157.0,52.0,Japan,JPN,London,Hockey,Hockey Women's Hockey,0,0,0
40203,Anna Vladimirovna Chicherova,F,30.0,180.0,57.0,Russia,RUS,London,Athletics,Athletics Women's High Jump,0,1,0
40219,Kenta Chida,M,26.0,170.0,65.0,Japan,JPN,London,Fencing,"Fencing Men's Foil, Individual",0,0,0
40220,Kenta Chida,M,26.0,170.0,65.0,Japan,JPN,London,Fencing,"Fencing Men's Foil, Team",0,0,1
40235,Chien Yu-Chin,F,29.0,175.0,71.0,Chinese Taipei,TPE,London,Badminton,Badminton Women's Doubles,0,0,0
40239,Marcelo Chierighini,M,21.0,190.0,86.0,Brazil,BRA,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,0
40240,Marcelo Chierighini,M,21.0,190.0,86.0,Brazil,BRA,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,0
40319,Simon Child,M,24.0,186.0,80.0,New Zealand,NZL,London,Hockey,Hockey Men's Hockey,0,0,0
40321,Eilidh Child-Doyle,F,25.0,170.0,60.0,Great Britain,GBR,London,Athletics,Athletics Women's 400 metres Hurdles,0,0,0
40322,Eilidh Child-Doyle,F,25.0,170.0,60.0,Great Britain,GBR,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
40408,Chatuphum Chinnawong,M,19.0,167.0,77.0,Thailand,THA,London,Weightlifting,Weightlifting Men's Middleweight,0,0,0
40412,Zulfiya Salakharovna Chinshanlo,F,19.0,155.0,53.0,Kazakhstan,KAZ,London,Weightlifting,Weightlifting Women's Featherweight,0,1,0
40415,Rare Daniel Chintoan,M,29.0,189.0,120.0,Romania,ROU,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",0,0,0
40432,Mihnea Chioveanu,M,24.0,198.0,115.0,Romania,ROU,London,Water Polo,Water Polo Men's Water Polo,0,0,0
40455,Iosif Chiril,M,29.0,186.0,91.0,Romania,ROU,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",0,0,0
40477,Tatiana Chica,F,17.0,175.0,60.0,Moldova,MDA,London,Swimming,Swimming Women's 100 metres Breaststroke,0,0,0
40485,"Roderick ""Rod"" Chisholm",M,38.0,183.0,72.0,Australia,AUS,London,Rowing,Rowing Men's Lightweight Double Sculls,0,0,0
40507,Shafiq Chitou,M,27.0,168.0,60.0,Benin,BEN,London,Boxing,Boxing Men's Lightweight,0,0,0
40514,Andreea Stefania Chiu,F,24.0,157.0,52.0,Romania,ROU,London,Judo,Judo Women's Half-Lightweight,0,0,0
40554,Freedom Chiya,M,33.0,186.0,93.0,South Africa,RSA,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,0,0,0
40570,Zdenk Chldek,M,22.0,169.0,64.0,Czech Republic,CZE,London,Boxing,Boxing Men's Light-Welterweight,0,0,0
40573,Karolina Chlewiska,F,28.0,176.0,64.0,Poland,POL,London,Fencing,"Fencing Women's Foil, Team",0,0,0
40650,Cristian Andrs Chocho Len,M,28.0,170.0,66.0,Ecuador,ECU,London,Athletics,Athletics Men's 50 kilometres Walk,0,0,0
40657,Petra Chocov,F,25.0,169.0,61.0,Czech Republic,CZE,London,Swimming,Swimming Women's 100 metres Breaststroke,0,0,0
40664,Kunzang Choden,F,27.0,158.0,69.0,Bhutan,BHU,London,Shooting,"Shooting Women's Air Rifle, 10 metres",0,0,0
40682,Choe Mi-Gyong,F,21.0,160.0,57.0,North Korea,PRK,London,Football,Football Women's Football,0,0,0
40688,Choe Un-Gyong,F,21.0,161.0,63.0,North Korea,PRK,London,Wrestling,"Wrestling Women's Middleweight, Freestyle",0,0,0
40689,Choe Un-Ju,F,21.0,160.0,55.0,North Korea,PRK,London,Football,Football Women's Football,0,0,0
40691,Choe Yong-Sim,F,21.0,172.0,62.0,North Korea,PRK,London,Football,Football Women's Football,0,0,0
40704,Choi Byeong-Cheol,M,30.0,173.0,70.0,South Korea,KOR,London,Fencing,"Fencing Men's Foil, Individual",1,0,0
40733,Choi Eun-Sook,F,26.0,169.0,59.0,South Korea,KOR,London,Fencing,"Fencing Women's epee, Team",0,0,1
40743,Choi Gwang-Hyeon,M,26.0,165.0,60.0,South Korea,KOR,London,Judo,Judo Men's Extra-Lightweight,0,0,0
40755,Choi Gyu-Jin,M,27.0,168.0,55.0,South Korea,KOR,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",0,0,0
40756,Choi Gyu-Wung,M,22.0,181.0,75.0,South Korea,KOR,London,Swimming,Swimming Men's 200 metres Breaststroke,0,0,0
40778,Choi Hye-Ra,F,21.0,165.0,56.0,South Korea,KOR,London,Swimming,Swimming Women's 200 metres Butterfly,0,0,0
40779,Choi Hye-Ra,F,21.0,165.0,56.0,South Korea,KOR,London,Swimming,Swimming Women's 200 metres Individual Medley,0,0,0
40784,Choi Hyeon-Ju,F,27.0,172.0,65.0,South Korea,KOR,London,Archery,Archery Women's Individual,0,0,0
40785,Choi Hyeon-Ju,F,27.0,172.0,65.0,South Korea,KOR,London,Archery,Archery Women's Team,0,1,0
40792,Choi Im-Jeong,F,31.0,182.0,75.0,South Korea,KOR,London,Handball,Handball Women's Handball,0,0,0
40797,Choi In-Jeong,F,22.0,174.0,59.0,South Korea,KOR,London,Fencing,"Fencing Women's epee, Individual",0,0,0
40798,Choi In-Jeong,F,22.0,174.0,59.0,South Korea,KOR,London,Fencing,"Fencing Women's epee, Team",0,0,1
40820,Choi Ki Ho,M,21.0,173.0,59.0,Hong Kong,HKG,London,Cycling,Cycling Men's Omnium,0,0,0
40857,Nicholas Edward Choi,M,19.0,175.0,65.0,Hong Kong,HKG,London,Fencing,"Fencing Men's Foil, Individual",0,0,0
40887,Choi Seung-Wu,M,22.0,172.0,57.0,South Korea,KOR,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,0,0
40918,Choi Yeong-Rae,M,30.0,166.0,74.0,South Korea,KOR,London,Shooting,"Shooting Men's Air Pistol, 10 metres",0,0,0
40919,Choi Yeong-Rae,M,30.0,166.0,74.0,South Korea,KOR,London,Shooting,"Shooting Men's Free Pistol, 50 metres",0,0,1
40940,Choi Yun-Hui,F,26.0,172.0,62.0,South Korea,KOR,London,Athletics,Athletics Women's Pole Vault,0,0,0
40982,Margarita Georgieva Chomakova,F,23.0,168.0,55.0,Bulgaria,BUL,London,Fencing,"Fencing Women's Sabre, Individual",0,0,0
41012,"Nyuk Lian ""Leanne"" Choo",F,21.0,167.0,58.0,Australia,AUS,London,Badminton,Badminton Women's Doubles,0,0,0
41017,Gilbert Choombe,M,20.0,160.0,69.0,Zambia,ZAM,London,Boxing,Boxing Men's Light-Welterweight,0,0,0
41023,Chauness Chauzje Choosha,F,19.0,,,Zambia,ZAM,London,Athletics,Athletics Women's 100 metres,0,0,0
41031,Mavzuna Chorieva,F,19.0,160.0,60.0,Tajikistan,TJK,London,Boxing,Boxing Women's Lightweight,1,0,0
41032,Dilshod Choriyev,M,27.0,178.0,90.0,Uzbekistan,UZB,London,Judo,Judo Men's Middleweight,0,0,0
41058,Rachid Chouhal,M,37.0,178.0,80.0,Malta,MLT,London,Athletics,Athletics Men's 100 metres,0,0,0
41069,Marouan Chouiref,M,22.0,195.0,109.0,Tunisia,TUN,London,Handball,Handball Men's Handball,0,0,0
41073,Maialen Chourraut Yurramendi,F,29.0,161.0,55.0,Spain,ESP,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",1,0,0
41127,Shagun Chowdhary,F,29.0,,,India,IND,London,Shooting,Shooting Women's Trap,0,0,0
41211,Kim Juhl Christensen,M,28.0,186.0,125.0,Denmark,DEN,London,Athletics,Athletics Men's Shot Put,0,0,0
41253,Brendan Kyle Akeem Christian,M,28.0,175.0,70.0,Antigua and Barbuda,ANT,London,Athletics,Athletics Men's 200 metres,0,0,0
41262,Carina Rosenvinge Christiansen,F,21.0,171.0,67.0,Denmark,DEN,London,Archery,Archery Women's Individual,0,0,0
41263,Carina Rosenvinge Christiansen,F,21.0,171.0,67.0,Denmark,DEN,London,Archery,Archery Women's Team,0,0,0
41315,Stphane Christidis,M,31.0,192.0,81.0,France,FRA,London,Sailing,Sailing Men's Skiff,0,0,0
41406,Chu Jinling,F,27.0,186.0,75.0,China,CHN,London,Volleyball,Volleyball Women's Volleyball,0,0,0
41420,Chu Hong Diu Linh,F,18.0,174.0,66.0,Vietnam,VIE,London,Taekwondo,Taekwondo Women's Welterweight,0,0,0
41435,Chuang Chia-Jung,F,27.0,168.0,62.0,Chinese Taipei,TPE,London,Tennis,Tennis Women's Doubles,0,0,0
41440,Chuang Chih-Yuan,M,31.0,166.0,60.0,Chinese Taipei,TPE,London,Table Tennis,Table Tennis Men's Singles,0,0,0
41446,"Patricia ""Chuca"" de Oliveira Ferreira",F,33.0,183.0,70.0,Brazil,BRA,London,Basketball,Basketball Women's Basketball,0,0,0
41470,Iosif Ivanovich Chugoshvili,M,25.0,188.0,120.0,Belarus,BLR,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",0,0,0
41471,Illia Viktorovych Chuiev,M,28.0,186.0,83.0,Ukraine,UKR,London,Swimming,Swimming Men's 200 metres Butterfly,0,0,0
41509,Chika Yagazie Chukwumerije,M,28.0,190.0,106.0,Nigeria,NGR,London,Taekwondo,Taekwondo Men's Heavyweight,0,0,0
41532,Clarissa Kyoko Mei Ling Chun,F,30.0,150.0,48.0,United States,USA,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",1,0,0
41564,Yelena Anatolyevna Churakova,F,25.0,174.0,56.0,Russia,RUS,London,Athletics,Athletics Women's 400 metres Hurdles,0,0,0
41605,Andrey Viktorovich Churilo,M,19.0,189.0,74.0,Belarus,BLR,London,Athletics,Athletics Men's High Jump,0,0,0
41633,Oksana Aleksandrovna Chusovitina,F,37.0,153.0,43.0,Germany,GER,London,Gymnastics,Gymnastics Women's Team All-Around,0,0,0
41634,Oksana Aleksandrovna Chusovitina,F,37.0,153.0,43.0,Germany,GER,London,Gymnastics,Gymnastics Women's Horse Vault,0,0,0
41635,Oksana Aleksandrovna Chusovitina,F,37.0,153.0,43.0,Germany,GER,London,Gymnastics,Gymnastics Women's Balance Beam,0,0,0
41643,Marcos Antnio Quintino Chuva,M,22.0,182.0,75.0,Portugal,POR,London,Athletics,Athletics Men's Long Jump,0,0,0
41662,Serhiy Oleksandrovych Chykanov,M,32.0,193.0,103.0,Ukraine,UKR,London,Rowing,Rowing Men's Coxed Eights,0,0,0
41695,Antonio Ciano,M,31.0,180.0,81.0,Italy,ITA,London,Judo,Judo Men's Half-Middleweight,0,0,0
41777,Greta Cicolari,F,29.0,180.0,70.0,Italy,ITA,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,0,0,0
41797,Csar Augusto Cielo Filho,M,25.0,195.0,80.0,Brazil,BRA,London,Swimming,Swimming Men's 50 metres Freestyle,1,0,0
41798,Csar Augusto Cielo Filho,M,25.0,195.0,80.0,Brazil,BRA,London,Swimming,Swimming Men's 100 metres Freestyle,0,0,0
41800,Javier Cienfuegos Pinilla,M,22.0,187.0,110.0,Spain,ESP,London,Athletics,Athletics Men's Hammer Throw,0,0,0
41815,Marcin Cielak,M,20.0,193.0,85.0,Poland,POL,London,Swimming,Swimming Men's 200 metres Butterfly,0,0,0
41816,Marcin Cielak,M,20.0,193.0,85.0,Poland,POL,London,Swimming,Swimming Men's 200 metres Individual Medley,0,0,0
41838,Iva Ciglar,F,26.0,169.0,65.0,Croatia,CRO,London,Basketball,Basketball Women's Basketball,0,0,0
41859,Marin ili,M,23.0,198.0,82.0,Croatia,CRO,London,Tennis,Tennis Men's Singles,0,0,0
41860,Marin ili,M,23.0,198.0,82.0,Croatia,CRO,London,Tennis,Tennis Men's Doubles,0,0,0
41915,Ate nar,M,26.0,172.0,72.0,Turkey,TUR,London,Sailing,Sailing Men's Two Person Dinghy,0,0,0
41918,Deniz nar,M,27.0,172.0,65.0,Turkey,TUR,London,Sailing,Sailing Men's Two Person Dinghy,0,0,0
41935,Ondej Cink,M,21.0,178.0,68.0,Czech Republic,CZE,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",0,0,0
41944,Jeyvier Jess Cintrn Ocasio,M,17.0,171.0,52.0,Puerto Rico,PUR,London,Boxing,Boxing Men's Flyweight,0,0,0
41946,Mihaela Ciobanu Ciobanu,F,39.0,175.0,73.0,Spain,ESP,London,Handball,Handball Women's Handball,1,0,0
42007,Stefano Cipressi,M,29.0,175.0,71.0,Italy,ITA,London,Canoeing,"Canoeing Men's Canadian Singles, Slalom",0,0,0
42030,Anatolii Crcu,M,23.0,178.0,94.0,Moldova,MDA,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,1,0,0
42031,"Christopher ""Chris"" Ciriello",M,26.0,182.0,83.0,Australia,AUS,London,Hockey,Hockey Men's Hockey,1,0,0
42047,Sorana Mihaela Crstea,F,22.0,175.0,63.0,Romania,ROU,London,Tennis,Tennis Women's Singles,0,0,0
42048,Sorana Mihaela Crstea,F,22.0,175.0,63.0,Romania,ROU,London,Tennis,Tennis Women's Doubles,0,0,0
42060,Omar Cisneros Bonora,M,22.0,180.0,67.0,Cuba,CUB,London,Athletics,Athletics Men's 400 metres Hurdles,0,0,0
42061,Omar Cisneros Bonora,M,22.0,180.0,67.0,Cuba,CUB,London,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,0
42068,Saliou Ciss,M,22.0,173.0,69.0,Senegal,SEN,London,Football,Football Men's Football,0,0,0
42150,Sandie Clair,F,24.0,160.0,60.0,France,FRA,London,Cycling,Cycling Women's Team Sprint,0,0,0
42157,Stphane Clamens,M,41.0,172.0,78.0,France,FRA,London,Shooting,Shooting Men's Trap,0,0,0
42160,"Edward ""Ed"" Clancy",M,27.0,185.0,79.0,Great Britain,GBR,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,1,0
42161,"Edward ""Ed"" Clancy",M,27.0,185.0,79.0,Great Britain,GBR,London,Cycling,Cycling Men's Omnium,1,0,0
42166,Francesca Clapcich,F,24.0,177.0,68.0,Italy,ITA,London,Sailing,Sailing Women's One Person Dinghy,0,0,0
42212,Amanda Clark,F,30.0,160.0,59.0,United States,USA,London,Sailing,Sailing Women's Two Person Dinghy,0,0,0
42215,Aoife Clark (Sisk-),F,30.0,173.0,65.0,Ireland,IRL,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",0,0,0
42216,Aoife Clark (Sisk-),F,30.0,173.0,65.0,Ireland,IRL,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",0,0,0
42236,"Daniel Mark ""Dan"" Clark",M,23.0,210.0,110.0,Great Britain,GBR,London,Basketball,Basketball Men's Basketball,0,0,0
42266,James Clark,M,21.0,195.0,95.0,Australia,AUS,London,Water Polo,Water Polo Men's Water Polo,0,0,0
42277,Katie Lauren Clark,F,18.0,168.0,52.0,Great Britain,GBR,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,0
42321,Sarah Clark,F,34.0,173.0,57.0,Great Britain,GBR,London,Judo,Judo Women's Lightweight,0,0,0
42323,Saskia Clark,F,32.0,176.0,68.0,Great Britain,GBR,London,Sailing,Sailing Women's Two Person Dinghy,0,0,1
42387,"Jonathan ""Jonty"" Clarke",M,31.0,183.0,82.0,Great Britain,GBR,London,Hockey,Hockey Men's Hockey,0,0,0
42397,Charles Lawrence Somerset Clarke,M,22.0,187.0,77.0,Great Britain,GBR,London,Athletics,Athletics Men's 110 metres Hurdles,0,0,0
42408,Richard Clarke,M,43.0,185.0,99.0,Canada,CAN,London,Sailing,Sailing Men's Two Person Keelboat,0,0,0
42447,Scott Tyler Clary,M,23.0,185.0,84.0,United States,USA,London,Swimming,Swimming Men's 200 metres Backstroke,0,1,0
42448,Scott Tyler Clary,M,23.0,185.0,84.0,United States,USA,London,Swimming,Swimming Men's 200 metres Butterfly,0,0,0
42528,Vctor Claver Arocas,M,23.0,206.0,107.0,Spain,ESP,London,Basketball,Basketball Men's Basketball,0,0,1
42555,"William Bundu ""Will"" Claye",M,21.0,181.0,72.0,United States,USA,London,Athletics,Athletics Men's Long Jump,1,0,0
42556,"William Bundu ""Will"" Claye",M,21.0,181.0,72.0,United States,USA,London,Athletics,Athletics Men's Triple Jump,0,0,1
42562,Custio Clayton,M,24.0,175.0,69.0,Canada,CAN,London,Boxing,Boxing Men's Welterweight,0,0,0
42565,Francesca Clayton,F,22.0,170.0,69.0,Great Britain,GBR,London,Water Polo,Water Polo Women's Water Polo,0,0,0
42577,Jacob Clear,M,27.0,185.0,86.0,Australia,AUS,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",0,1,0
42602,"Timothy ""Tim"" Cleland",M,27.0,195.0,115.0,Australia,AUS,London,Water Polo,Water Polo Men's Water Polo,0,0,0
42625,Kerron Stephon Clement,M,26.0,188.0,86.0,United States,USA,London,Athletics,Athletics Men's 400 metres Hurdles,0,0,0
42669,Valerio Cleri,M,31.0,177.0,76.0,Italy,ITA,London,Swimming,Swimming Men's 10 kilometres Open Water,0,0,0
42695,"Thomas William ""Tom"" Cleverley",M,22.0,180.0,73.0,Great Britain,GBR,London,Football,Football Men's Football,0,0,0
42696,Marcus David Cleverly,M,31.0,188.0,91.0,Denmark,DEN,London,Handball,Handball Men's Handball,0,0,0
42749,Kim Antonie Lode Clijsters,F,29.0,175.0,72.0,Belgium,BEL,London,Tennis,Tennis Women's Singles,0,0,0
42783,Jade Close,F,24.0,160.0,60.0,Australia,AUS,London,Hockey,Hockey Women's Hockey,0,0,0
42817,lodie Pascaline Clouvel,F,23.0,182.0,69.0,France,FRA,London,Modern Pentathlon,Modern Pentathlon Women's Individual,0,0,0
42896,Sebastin Coates Nin,M,21.0,196.0,85.0,Uruguay,URU,London,Football,Football Men's Football,0,0,0
42911,Yariulvis Cobas Garca,F,21.0,,,Cuba,CUB,London,Rowing,Rowing Women's Single Sculls,0,0,0
42915,Guilherme Henrique Cobbo,M,25.0,180.0,65.0,Brazil,BRA,London,Athletics,Athletics Men's High Jump,0,0,0
42935,Emma Jane Coburn,F,21.0,173.0,54.0,United States,USA,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",0,0,0
42979,Ryan Andrew Cochrane,M,23.0,192.0,80.0,Canada,CAN,London,Swimming,Swimming Men's 400 metres Freestyle,0,0,0
42980,Ryan Andrew Cochrane,M,23.0,192.0,80.0,Canada,CAN,London,Swimming,"Swimming Men's 1,500 metres Freestyle",0,0,1
42983,Ryan Cochrane,M,29.0,178.0,78.0,Canada,CAN,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",0,0,0
42984,Ryan Cochrane,M,29.0,178.0,78.0,Canada,CAN,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",0,0,0
42987,Alexandru Coci,M,22.0,174.0,70.0,Romania,ROU,London,Swimming,Swimming Men's 200 metres Butterfly,0,0,0
