,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
5120,Olivia Elizabeth N. Allison-Federici,F,22.0,169.0,54.0,Great Britain,GBR,London,Synchronized Swimming,Synchronized Swimming Women's Duet,0,0,0
5121,Olivia Elizabeth N. Allison-Federici,F,22.0,169.0,54.0,Great Britain,GBR,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,0
5123,Andrique Allisop,M,19.0,171.0,60.0,Seychelles,SEY,London,Boxing,Boxing Men's Lightweight,0,0,0
5163,Bradley Kevin Ally,M,25.0,182.0,73.0,Barbados,BAR,London,Swimming,Swimming Men's 100 metres Backstroke,0,0,0
5164,Bradley Kevin Ally,M,25.0,182.0,73.0,Barbados,BAR,London,Swimming,Swimming Men's 200 metres Individual Medley,0,0,0
5165,Bradley Kevin Ally,M,25.0,182.0,73.0,Barbados,BAR,London,Swimming,Swimming Men's 400 metres Individual Medley,0,0,0
5179,Miguel ngel Almachi Condo,M,27.0,165.0,55.0,Ecuador,ECU,London,Athletics,Athletics Men's Marathon,0,0,0
5195,Nicols Almagro Snchez,M,26.0,180.0,84.0,Spain,ESP,London,Tennis,Tennis Men's Singles,0,0,0
5201,Rose Mary Almanza Blanco,F,20.0,165.0,53.0,Cuba,CUB,London,Athletics,Athletics Women's 800 metres,0,0,0
5240,Carlos Fernandes Esteves de Almeida,M,23.0,182.0,79.0,Portugal,POR,London,Swimming,Swimming Men's 100 metres Breaststroke,0,0,0
5246,Joo Carlos Marques de Almeida,M,24.0,185.0,88.0,Portugal,POR,London,Athletics,Athletics Men's 110 metres Hurdles,0,0,0
5258,Kaio Mrcio Ferreira Costa de Almeida,M,27.0,177.0,75.0,Brazil,BRA,London,Swimming,Swimming Men's 100 metres Butterfly,0,0,0
5259,Kaio Mrcio Ferreira Costa de Almeida,M,27.0,177.0,75.0,Brazil,BRA,London,Swimming,Swimming Men's 200 metres Butterfly,0,0,0
